Tarih,dayOfWeek,Total Spending,Total Income,Discretionary Amount,Essential Amount,Share of Discretionary
12.05.2024,Sunday,-290,0,-290,0,1
13.05.2024,Monday,-233.5,1000,0,-233.5,0
14.05.2024,Tuesday,-1247.59,0,-370,-877.59,0.29657179
15.05.2024,Wednesday,-411.6,0,0,-411.6,0
16.05.2024,Thursday,-200,939.99,0,-200,0
17.05.2024,Friday,-1740,0,-1740,0,1
18.05.2024,Saturday,-1445,3790,-1445,0,1
19.05.2024,Sunday,-228,0,0,-228,0
21.05.2024,Tuesday,-440,0,-440,0,1
22.05.2024,Wednesday,-226.9,0,0,-226.9,0
23.05.2024,Thursday,-279.05,0,0,-279.05,0
24.05.2024,Friday,-222.9,0,0,-222.9,0
25.05.2024,Saturday,-514.9,0,-514.9,0,1
26.05.2024,Sunday,-360,0,-335,-25,0.930555556
27.05.2024,Monday,-499.35,0,-250,-249.35,0.500650846
28.05.2024,Tuesday,-231.95,0,0,-231.95,0
29.05.2024,Wednesday,-282.25,0,0,-282.25,0
30.05.2024,Thursday,-265,0,-265,0,1
31.05.2024,Friday,-430.01,2400,-420,-10.01,0.976721472
1.06.2024,Saturday,-952.5,0,-325,-627.5,0.341207349
2.06.2024,Sunday,-310.67,0,0,-310.67,0
3.06.2024,Monday,-440,7000,-440,0,1
4.06.2024,Tuesday,-205,0,-205,0,1
5.06.2024,Wednesday,-495,0,-495,0,1
6.06.2024,Thursday,-302.75,0,-15,-287.75,0.04954583
8.06.2024,Saturday,-380,0,-380,0,1
9.06.2024,Sunday,-280,0,-280,0,1
10.06.2024,Monday,-1610.15,0,-250,-1360.15,0.155265037
11.06.2024,Tuesday,-1112,0,-1112,0,1
12.06.2024,Wednesday,-613.75,0,0,-613.75,0
13.06.2024,Thursday,-610,0,-610,0,1
14.06.2024,Friday,-996.83,0,-150,-846.83,0.150477012
25.09.2024,Wednesday,-350,0,-250,-100,0.714285714
27.09.2024,Friday,-556.25,2000,-215,-341.25,0.386516854
28.09.2024,Saturday,-800.02,0,-380,-420.02,0.474988125
29.09.2024,Sunday,-418,0,-380,-38,0.909090909
30.09.2024,Monday,-166.51,0,0,-166.51,0
1.10.2024,Tuesday,-2100,14000,-250,-1850,0.119047619
2.10.2024,Wednesday,-333.3333333,0,0,-333.3333333,0
3.10.2024,Thursday,-549.8,0,-299.8,-250,0.545289196
4.10.2024,Friday,-1135,0,-885,-250,0.779735683
5.10.2024,Saturday,-582.8333333,0,-230,-352.8333333,0.394623963
6.10.2024,Sunday,-781.2333333,0,0,-781.2333333,0
7.10.2024,Monday,-240,0,-240,0,1
8.10.2024,Tuesday,-477.5,0,0,-477.5,0
9.10.2024,Wednesday,-699.79,0,0,-699.79,0
10.10.2024,Thursday,-500,0,-250,-250,0.5
11.10.2024,Friday,-755,0,-755,0,1
12.10.2024,Saturday,-550,0,-400,-150,0.727272727
13.10.2024,Sunday,-1596.09,0,-325,-1271.09,0.203622603
14.10.2024,Monday,-210,0,-210,0,1
15.10.2024,Tuesday,-326.67,0,0,-326.67,0
16.10.2024,Wednesday,-862.22,0,-662.22,-200,0.768040639
17.10.2024,Thursday,-230,2000,0,-230,0
18.10.2024,Friday,-322.9,0,0,-322.9,0
19.10.2024,Saturday,-285,0,0,-285,0
20.10.2024,Sunday,-701.52,0,-252.22,-449.3,0.359533584
21.10.2024,Monday,-769.29,1500,-250,-519.29,0.324974977
23.10.2024,Wednesday,-573.6,0,0,-573.6,0
24.10.2024,Thursday,-450,0,-450,0,1
25.10.2024,Friday,-250,0,0,-250,0
26.10.2024,Saturday,-1162.5,0,-962.5,-200,0.827956989
27.10.2024,Sunday,-319,0,-30,-289,0.094043887
28.10.2024,Monday,-542,0,-250,-292,0.461254613
29.10.2024,Tuesday,-335,500,-335,0,1
30.10.2024,Wednesday,-352.22,1500,0,-352.22,0
31.10.2024,Thursday,-618.01,0,-358,-260.01,0.579278652
1.11.2024,Friday,-500,12500,-250,-250,0.5
2.11.2024,Saturday,-301,0,0,-301,0
3.11.2024,Sunday,-679.42,0,-250,-429.42,0.367960908
4.11.2024,Monday,-854.9833333,0,0,-854.9833333,0
5.11.2024,Tuesday,-432.3333333,0,0,-432.3333333,0
7.11.2024,Thursday,-1371,0,-1050,-321,0.765864333
9.11.2024,Saturday,-381.5833333,0,-30,-351.5833333,0.078619786
10.11.2024,Sunday,-369,0,-300,-69,0.81300813
11.11.2024,Monday,-710,0,-460,-250,0.647887324
12.11.2024,Tuesday,-956.79,0,0,-956.79,0
13.11.2024,Wednesday,-280,0,0,-280,0
14.11.2024,Thursday,-500,0,-500,0,1
15.11.2024,Friday,-570,2700,-570,0,1
16.11.2024,Saturday,-665,0,-315,-350,0.473684211
17.11.2024,Sunday,-379.9,0,-379.9,0,1
18.11.2024,Monday,-551.3,0,0,-551.3,0
19.11.2024,Tuesday,-250,3000,0,-250,0
20.11.2024,Wednesday,-500,0,-250,-250,0.5
21.11.2024,Thursday,-440,0,-440,0,1
22.11.2024,Friday,-585.25,0,-250,-335.25,0.427167877
23.11.2024,Saturday,-1290,0,-1040,-250,0.80620155
24.11.2024,Sunday,-310,0,-310,0,1
25.11.2024,Monday,-500,0,-250,-250,0.5
26.11.2024,Tuesday,-313.27,0,0,-313.27,0
27.11.2024,Wednesday,-530,0,-250,-280,0.471698113
28.11.2024,Thursday,-716.6666667,0,-550,-166.6666667,0.76744186
29.11.2024,Friday,-192.1666667,3000,0,-192.1666667,0
30.11.2024,Saturday,-220.01,0,-210,-10.01,0.954502068
1.12.2024,Sunday,-227.4166667,0,0,-227.4166667,0
2.12.2024,Monday,-375.3333333,12000,0,-375.3333333,0
3.12.2024,Tuesday,-450,0,-450,0,1
4.12.2024,Wednesday,-210,0,-210,0,1
5.12.2024,Thursday,-412.1133333,0,0,-412.1133333,0
6.12.2024,Friday,-2623.333333,3000,-2290,-333.3333333,0.872935197
7.12.2024,Saturday,-1130.64,0,-881.14,-249.5,0.779328522
8.12.2024,Sunday,-885.8,0,-400,-485.8,0.451569203
9.12.2024,Monday,-583.3333333,0,-250,-333.3333333,0.428571429
10.12.2024,Tuesday,-461.5,0,-440,-21.5,0.953412784
12.12.2024,Thursday,-984.6233333,0,0,-984.6233333,0
14.12.2024,Saturday,-1103.333333,0,-770,-333.3333333,0.697885196
